poll_id;message_id;question;proportion;type;author_id;channel_id;guild_id;timestamp;duration;closed;votes
1;1441864290213691516;"Une question un peu plus longue parce que là c'était très moche...";0.5;"l";1283005952509087755;1438231260840329338;1435683643132481729;1763921917;20;1;692717393503453284,756865029067898960,1283005952509087755:o
3;1442223729181720596;"Voici la question à répondre... C'est une révision bien sûr.";0.75;"r";1283005952509087755;1438231260840329338;1435683643132481729;1764107339;64000;1;692717393503453284:b,756865029067898960:n,1283005952509087755:o
4;1445898590672130214;"question3";0.5;"l";1283005952509087755;1443973512636399777;1424789525493973066;1764799487;604800;0;767059570710413384,452502457684197399,1204140730654793751,1402792961955205240,880162676972585001,1283005952509087755,826362651324055572,386892659442057221,946442002558492692,692717393503453284,1292762566606585858,779843063131930694,1365387648080023572,947480095730315285,778605583988817971,414505451523276810,670687441291706368,688394725237063774,639915550289428510,290399324217802753,690595764900200570,518833508983111691,516631614319624193,1395746373139431565,322762034007638017,756865029067898960,581187099252752395,626799515688763410,689192821944877057,330333692008464385,568441353231400960,777127599569633310,442350609174233100
